Month,DayofMonth,Temp ,Temp_Avg,Visibility_High,Visibility_Avg,Wind_High,Wind_Avg,Precip_Sum
6,21,86,76,10,9,10,4,0.1
6,22,88,80,10,8,26,6,T
6,23,90,79,10,10,23,9,0.01
6,24,92,79,10,10,13,5,0
6,25,95,83,10,10,16,6,0
6,26,92,83,10,9,16,6,T
6,27,91,82,10,10,17,9,0
6,28,90,81,10,10,20,8,0.03
6,29,86,77,10,9,30,10,0.32
6,30,86,78,10,9,22,12,0
7,1,85,74,10,10,15,6,0
7,2,87,75,10,10,16,4,0
7,3,91,80,10,10,15,6,0
7,4,90,81,10,10,23,7,0.01
7,5,88,79,10,9,25,7,0.53
7,6,82,75,10,9,22,6,0.37
7,7,88,79,10,10,13,6,T
7,8,90,81,10,10,18,6,0.69
7,9,89,81,10,9,21,8,T
7,10,87,79,10,8,24,7,1.12
7,11,89,81,10,8,24,7,T
7,12,93,82,10,7,14,4,0
7,13,85,78,10,7,32,4,2.1
7,14,88,80,10,8,18,9,0
7,15,89,79,10,10,16,7,0
7,16,89,80,10,10,16,9,0
7,17,88,79,10,9,17,9,0
7,18,90,80,10,9,12,7,0
7,19,91,82,10,8,14,5,0
7,20,94,84,8,7,16,8,0
7,21,95,84,10,8,36,7,0.09
7,22,92,81,10,8,31,7,0.16
7,23,87,78,10,8,15,7,T
7,24,88,79,10,10,15,7,0
7,25,89,80,10,9,16,3,0.01
7,26,87,80,10,8,14,3,1.18
7,27,90,81,10,7,12,6,0
7,28,93,84,10,8,20,4,0
7,29,92,83,10,9,22,5,0.01
7,30,90,81,10,9,14,5,0
7,31,88,80,10,8,33,11,0.9
8,1,89,80,10,8,16,7,T
8,2,92,80,10,8,48,6,0.82
8,3,91,82,10,9,24,5,0
8,4,91,82,10,9,13,4,0
8,5,92,84,10,10,14,6,0
8,6,94,85,10,10,15,7,0
8,7,90,82,10,10,23,8,0
8,8,86,78,10,9,20,10,0
8,9,85,75,10,10,13,6,0
8,10,85,76,10,10,14,7,0
8,11,88,80,10,10,14,7,0
8,12,81,75,10,9,17,7,0.24
8,13,81,74,10,5,12,5,0.31
8,14,84,76,10,8,9,3,0
8,15,87,77,10,9,14,6,0
8,16,86,78,10,9,12,5,0.22
8,17,85,78,10,8,13,6,0
8,18,86,78,10,7,13,6,0
8,19,90,80,10,8,14,6,0
8,20,90,80,10,10,20,10,0
8,21,85,79,10,10,22,14,T
8,22,82,77,10,10,31,20,0.01
8,23,78,75,10,10,31,22,0.11
8,24,83,77,10,8,23,14,0.44
8,25,78,74,10,7,28,7,0.47
8,26,83,78,10,7,26,11,1.1
8,27,80,76,10,9,17,8,0.02
8,28,86,77,10,10,16,8,0
8,29,89,78,10,10,13,6,0
8,30,89,80,10,10,14,6,0
8,31,88,80,10,10,18,10,0
9,1,81,78,10,10,18,13,T
9,2,85,78,10,9,16,9,0
9,3,83,75,10,10,12,6,0
9,4,85,75,10,10,17,8,0
9,5,88,78,10,10,14,7,0
9,6,87,77,10,8,21,6,0.47
9,7,89,79,10,10,8,5,0
9,8,90,81,10,8,36,4,0.21
9,9,88,80,10,8,16,7,T
9,10,87,80,10,9,18,9,0.06
9,11,83,78,10,10,18,12,0
9,12,87,80,10,6,14,8,0.01
9,13,86,80,10,10,13,6,0
9,14,88,80,10,9,24,10,0
9,15,79,73,10,10,15,9,0
9,16,80,72,10,10,16,9,0
9,17,69,66,10,7,15,9,T
9,18,82,74,10,10,16,8,0
9,19,81,72,10,10,23,12,0
9,20,79,70,10,10,18,10,0
9,21,75,68,10,10,14,9,0
9,22,84,73,10,10,15,9,0
9,23,82,72,10,10,22,12,0
9,24,78,68,10,10,16,13,0
9,25,82,69,10,10,16,10,0
9,26,80,70,10,10,14,10,0
9,27,77,68,10,10,14,8,0
9,28,86,74,10,10,10,6,0
9,29,86,76,10,10,10,5,0
9,30,86,74,10,9,13,5,0
10,1,74,65,10,10,22,11,0
10,2,74,62,10,10,17,7,0
10,3,80,69,10,10,15,3,0
10,4,83,71,10,10,9,3,0
10,5,83,71,10,10,12,3,0
10,6,82,71,10,10,14,8,0
10,7,82,70,10,10,21,11,T
10,8,72,68,10,4,24,10,1.8
10,9,75,69,10,9,16,10,0.02
10,10,77,71,10,9,17,11,T
10,11,78,72,10,10,28,18,T
10,12,77,70,10,10,29,19,T
10,13,77,70,10,10,22,13,0.01
10,14,80,71,10,10,13,5,0
10,15,81,70,10,10,10,2,0
10,16,83,72,10,10,13,6,0
10,17,69,63,10,5,16,6,0.77
10,18,67,58,10,9,18,11,T
10,19,65,58,10,10,18,8,0
10,20,66,55,10,10,9,3,0
10,21,72,59,10,10,14,7,0
10,22,68,60,10,10,18,11,0
10,23,62,56,10,10,26,17,T
10,24,54,51,10,3,24,12,0.88
10,25,67,58,10,6,23,10,T
10,26,70,56,10,10,17,9,0
10,27,59,50,10,10,31,16,0
10,28,50,43,10,10,24,11,0
10,29,59,46,10,10,20,9,0
10,30,65,52,10,10,14,6,0
10,31,67,54,10,10,10,2,0
11,1,72,57,10,10,14,4,0
11,2,72,58,10,10,12,4,0
11,3,71,61,10,10,18,9,0
11,4,73,64,10,10,21,9,0
11,5,73,61,10,10,12,4,0
11,6,74,62,10,10,13,4,0
11,7,72,61,10,8,21,7,0.36
11,8,66,55,10,10,21,9,0
11,9,59,49,10,10,14,8,0
11,10,63,49,10,10,14,7,0
11,11,61,50,10,10,15,8,0
11,12,56,52,10,10,21,13,0
11,13,61,56,10,4,17,6,T
11,14,64,60,3,0,14,6,0.11
11,15,66,53,10,10,29,15,0.17
11,16,49,42,10,10,21,11,0
11,17,61,47,10,10,24,10,0
11,18,43,36,10,10,28,14,0
11,19,51,38,10,10,10,6,0
11,20,62,49,10,10,23,9,0
11,21,43,37,10,10,29,16,0
11,22,48,36,10,10,10,5,0
11,23,56,44,10,10,8,3,0
11,24,57,51,10,9,16,7,0.2
11,25,55,45,10,10,26,12,0
11,26,58,44,10,10,14,6,0
11,27,64,50,10,10,13,5,0
11,28,65,57,10,7,10,2,0.12
11,29,57,52,3,1,16,8,1.2
11,30,50,46,10,4,18,8,0.48
12,1,43,38,10,10,22,11,T
12,2,47,39,10,10,16,5,0
12,3,52,41,10,10,15,5,0
12,4,53,46,10,7,18,7,0.19
12,5,48,39,10,10,16,9,0
12,6,46,37,10,10,11,4,0
12,7,45,38,10,10,18,9,0
12,8,54,41,10,10,12,6,0
12,9,67,54,10,10,26,11,0.08
12,10,64,62,10,3,23,11,1.75
12,11,64,54,10,6,30,13,0.86
12,12,49,41,10,10,29,15,T
12,13,48,38,10,10,13,7,0
12,14,46,41,10,10,16,10,T
12,15,63,53,10,8,12,5,0
12,16,68,61,10,6,16,6,0.02
12,17,71,67,10,7,16,8,0.02
12,18,71,66,10,7,10,3,0.01
12,19,69,63,10,6,22,10,T
12,20,69,66,10,9,21,12,T
12,21,65,47,10,9,31,19,0.26
12,22,33,26,10,10,25,11,0
12,23,48,36,10,10,18,11,0
12,24,65,53,10,7,20,10,0.73
12,25,59,55,10,10,10,3,0.23
12,26,55,52,10,4,16,10,0.1
12,27,62,56,8,2,14,8,T
12,28,64,58,10,7,16,7,0.14
12,29,59,51,10,10,20,10,T
12,30,67,52,10,10,13,7,0
12,31,52,43,10,10,30,16,0
